Year,Total - Male,Total - Female,Nationality - Male,Nationality - Female,Mainland Hong Kong and Macao Regions - Male,Mainland Hong Kong and Macao Regions - Female,Foreign Nationality - Male,Foreign Nationality - Female
2004,11887,11887,11553,9284,29,921,305,1682
2005,13167,13167,12847,10557,48,1404,272,1206
2006,13307,13307,13012,11103,48,1375,247,829
2007,12512,12512,12249,10124,65,1622,198,766
2008,14591,14591,14268,12563,77,1344,246,684
2009,10938,10938,10624,8929,78,1305,236,704
2010,12926,12926,12559,10931,86,1334,281,661
2011,15525,15525,15161,13534,101,1362,263,629
2012,13621,13621,13213,11771,126,1235,282,615
2013,13679,13679,13283,12009,118,1080,278,590
2014,13839,13839,13418,12214,118,975,303,650
2015,15507,15507,15071,13799,144,949,292,759
2016,15048,15048,14585,13387,125,827,338,834
2017,14648,14648,14137,12829,144,782,367,1037
2018,14544,14544,13967,12726,172,736,405,1082
2019,13957,14189,13348,12499,190,663,419,1027
2020,13037,13299,12670,12459,79,280,288,560
